#lambda[nm]	BBF_Y	BBF_J	BBF_H	BBF_Ks
#1	          2	  3   	  4	  5
796	3.30E-005	8.36E-012	1.07E-003	0.00E+000
797	3.30E-005	-8.19E-012	1.07E-003	0.00E+000
798	3.30E-005	6.88E-012	1.07E-003	0.00E+000
799	3.30E-005	4.00E-011	1.07E-003	0.00E+000
800	3.30E-005	1.26E-011	1.07E-003	2.44E-008
801	2.20E-005	1.13E-011	1.07E-003	1.10E-008
802	3.00E-006	-7.00E-011	1.07E-003	1.72E-008
803	1.20E-005	-3.57E-011	1.07E-003	2.07E-008
804	3.00E-005	-7.66E-011	1.07E-003	1.31E-008
805	7.00E-006	1.63E-010	1.07E-003	1.76E-008
806	-1.00E-005	-2.19E-010	1.07E-003	1.66E-008
807	3.00E-005	2.35E-011	1.07E-003	1.31E-008
808	5.10E-005	3.43E-011	1.07E-003	1.72E-008
809	7.20E-005	1.22E-010	1.07E-003	1.37E-008
810	1.35E-004	-1.47E-010	1.07E-003	4.37E-009
811	1.82E-004	1.47E-010	1.07E-003	2.11E-008
812	1.41E-004	-5.78E-010	1.07E-003	1.99E-008
813	8.10E-005	-7.87E-011	1.07E-003	1.14E-008
814	8.00E-005	4.12E-010	1.07E-003	2.24E-008
815	5.40E-005	-7.93E-011	1.07E-003	2.13E-008
816	7.00E-005	2.68E-010	1.07E-003	1.35E-008
817	8.20E-005	-2.16E-009	1.07E-003	1.91E-008
818	2.10E-005	-1.85E-009	1.07E-003	1.80E-008
819	4.30E-005	-5.64E-010	1.07E-003	1.39E-008
820	6.30E-005	2.14E-009	1.07E-003	1.86E-008
821	1.06E-004	6.48E-009	1.07E-003	1.68E-008
822	3.08E-004	1.49E-008	1.07E-003	1.64E-008
823	7.71E-004	2.27E-008	1.07E-003	1.68E-008
824	1.95E-003	7.07E-008	1.07E-003	1.62E-008
825	4.48E-003	1.18E-007	1.07E-003	1.99E-008
826	7.50E-003	1.77E-007	1.07E-003	1.60E-008
827	8.91E-003	1.53E-007	1.07E-003	1.89E-008
828	8.22E-003	1.58E-007	1.07E-003	2.24E-008
829	6.70E-003	1.21E-007	1.07E-003	1.82E-008
830	5.62E-003	6.20E-008	1.07E-003	2.11E-008
831	5.74E-003	5.81E-008	1.07E-003	2.15E-008
832	7.91E-003	1.66E-007	1.07E-003	1.55E-008
833	1.60E-002	6.09E-007	1.07E-003	1.68E-008
834	4.41E-002	1.42E-006	1.07E-003	1.99E-008
835	1.01E-001	2.07E-006	1.07E-003	1.93E-008
836	1.42E-001	4.10E-006	1.07E-003	2.24E-008
837	1.18E-001	4.50E-006	1.07E-003	2.53E-008
838	6.36E-002	1.40E-006	1.07E-003	2.30E-008
839	2.66E-002	3.52E-006	1.07E-003	2.13E-008
840	1.08E-002	2.09E-006	1.07E-003	2.20E-008
841	4.98E-003	3.65E-006	1.07E-003	2.42E-008
842	2.83E-003	2.49E-006	1.07E-003	1.91E-008
843	1.90E-003	2.49E-006	1.07E-003	2.44E-008
844	1.61E-003	3.55E-006	1.07E-003	2.78E-008
845	1.50E-003	4.35E-006	1.07E-003	1.93E-008
846	1.62E-003	7.47E-006	1.07E-003	2.36E-008
847	2.17E-003	1.06E-005	1.07E-003	2.53E-008
848	3.40E-003	1.54E-005	1.07E-003	1.68E-008
849	5.51E-003	2.39E-005	1.07E-003	2.44E-008
850	7.49E-003	5.01E-005	1.07E-003	2.76E-008
851	7.67E-003	1.31E-004	1.07E-003	2.30E-008
